"name","birth","death","url"
"Stan Lee","1922-12-28","2018-11-12","https://en.wikipedia.org/wiki/Stan_Lee"
"Truman Capote","1924-09-30","1984-08-25","https://en.wikipedia.org/wiki/Truman_Capote"
"Harper Lee","1926-04-28","2016-02-19","https://en.wikipedia.org/wiki/Harper_Lee"
"René Goscinny","1926-08-14","1977-11-05","https://en.wikipedia.org/wiki/René_Goscinny"
"Albert Uderzo","1927-04-25","","https://en.wikipedia.org/wiki/Albert_Uderzo"
"Hunter S. Thompson","1937-07-18","2005-02-20","https://en.wikipedia.org/wiki/Hunter_S._Thompson"
"Margaret Atwood","1939-11-18","","https://en.wikipedia.org/wiki/Margaret_Atwood"
"Jim Davis","1945-07-28","","https://en.wikipedia.org/wiki/Jim_Davis"
"James Patterson","1947-03-22","","https://en.wikipedia.org/wiki/James_Patterson"
"Salman Rushdie","1947-06-19","","https://en.wikipedia.org/wiki/Salman_Rushdie"
"Paulo Coelho","1947-08-24","","https://en.wikipedia.org/wiki/Paulo_Coelho"
"Stephen King","1947-09-21","","https://en.wikipedia.org/wiki/Stephen_King"
"William Gibson","1948-03-17","","https://en.wikipedia.org/wiki/William_Gibson"
"Terry Prachett","1948-04-28","2015-03-12","https://en.wikipedia.org/wiki/Terry_Prachett"
"George R.R. Martin","1948-09-20","","https://en.wikipedia.org/wiki/George_R._R._Martin"
"Haruki Murakami","1949-01-12","","https://en.wikipedia.org/wiki/Haruki_Murakami"
"Gary Larson","1950-08-14","","https://en.wikipedia.org/wiki/Gary_Larson"
"Douglas Adams","1952-03-11","2001-05-11","https://en.wikipedia.org/wiki/Douglas_Adams"
"Bill Watterson","1958-07-05","","https://en.wikipedia.org/wiki/Bill_Watterson"
"Neal Stephenson","1959-10-31","","https://en.wikipedia.org/wiki/Neal_Stephenson"
"Neil Gaiman","1960-11-10","","https://en.wikipedia.org/wiki/Neil_Gaiman"
"Arundhati Roy","1961-11-01","","https://en.wikipedia.org/wiki/Arundhati_Roy"
"David Foster Wallace","1962-02-21","2008-09-12","https://en.wikipedia.org/wiki/David_Foster_Wallace"
"Bret Easton Ellis","1964-03-07","","https://en.wikipedia.org/wiki/Bret_Easton_Ellis"
"J.K. Rowling","1965-07-31","","https://en.wikipedia.org/wiki/J._K._Rowling"
"Jane Austen","1775-12-16","1817-07-18","https://en.wikipedia.org/wiki/Jane_Austen"
"Lord Byron","1788-01-22","1824-04-19","https://en.wikipedia.org/wiki/Lord_Byron"
"Percey Bysshe Shelley","1792-08-04","1822-07-08","https://en.wikipedia.org/wiki/Percey_Bysshe_Shelley"
"John Keats","1795-10-31","1821-02-23","https://en.wikipedia.org/wiki/John_Keats"
"Mary Shelley","1797-08-30","1851-02-01","https://en.wikipedia.org/wiki/Mary_Shelley"
"Victor Hugo","1802-02-26","1885-05-22","https://en.wikipedia.org/wiki/Victor_Hugo"
"Alexandre Dumas","1802-07-24","1870-12-05","https://en.wikipedia.org/wiki/Alexandre_Dumas"
"Hans Christian Andersen","1805-04-02","1875-08-04","https://en.wikipedia.org/wiki/Hans_Christian_Andersen"
"Edgar Allan Poe","1809-01-19","1849-10-07","https://en.wikipedia.org/wiki/Edgar_Allan_Poe"
"Charles Dickens","1812-02-07","1870-06-09","https://en.wikipedia.org/wiki/Charles_Dickens"
"James Joyce","1882-02-02","1941-01-13","https://en.wikipedia.org/wiki/James_Joyce"
"Franz Kafka","1883-07-03","1924-06-03","https://en.wikipedia.org/wiki/Franz_Kafka"
"D. H. Lawrence","1885-09-11","1930-03-02","https://en.wikipedia.org/wiki/D._H._Lawrence"
"Ezra Pound","1885-10-30","1972-11-01","https://en.wikipedia.org/wiki/Ezra_Pound"
"T. S. Eliot","1888-09-26","1965-01-04","https://en.wikipedia.org/wiki/T._S._Eliot"
"Agatha Christie","1890-09-15","1976-01-12","https://en.wikipedia.org/wiki/Agatha_Christie"
"Maya Angelou","1928-04-04","2014-05-28","https://en.wikipedia.org/wiki/Maya_Angelou"
"Philip K. Dick","1928-12-16","1982-03-02","https://en.wikipedia.org/wiki/Philip_K._Dick"
"Shel Silverstein","1930-09-25","1999-05-10","https://en.wikipedia.org/wiki/Shel_Silverstein"
"John le Carré","1931-10-19","","https://en.wikipedia.org/wiki/John_le_Carré"
"Umberto Eco","1932-01-05","2016-02-19","https://en.wikipedia.org/wiki/Umberto_Eco"
"Sylvia Plath","1932-10-27","1963-10-27","https://en.wikipedia.org/wiki/Sylvia_Plath"
"Thomas Pynchon","1937-05-08","","https://en.wikipedia.org/wiki/Thomas_Pynchon"
"H.P. Lovecraft","1890-08-20","1937-03-15","https://en.wikipedia.org/wiki/H._P._Lovecraft"
